data.id,data.iata_type,data.airplane_id,data.airline_iata_code,data.iata_code_long,data.iata_code_short,data.airline_icao_code,data.construction_number,data.delivery_date,data.engines_count,data.engines_type,data.first_flight_date,data.icao_code_hex,data.line_number,data.model_code,data.registration_number,data.test_registration_number,data.plane_age,data.plane_class,data.model_name,data.plane_owner,data.plane_series,data.plane_status,data.production_line,data.registration_date,data.rollout_date
4258264,"BAe ATP",79,"2N","ATP","ATP","","2019",1989-12-13 00:00:00.000,2,"TURBOPROP","1989-11-19T23:00:00.000Z","4AB4A5",,"BAe ATP","SE-MEE","",27,,"ATP","Erik Thun AB Sweden","","active","British Aerospace AT","2011-01-11T23:00:00.000Z","0000-00-00"
4258265,"BAe ATP",80,"2N","ATP","ATP","","2018",1989-10-02 01:00:00.000,2,"TURBOPROP","1989-09-17T22:00:00.000Z","4950CA",,"BAe ATP","SE-MEX","",28,,"ATP","Regional 1 Inc","","active","British Aerospace AT","0000-00-00","0000-00-00"
4258267,"Do328-100",82,"2W","D328","D38","","3078",1996-11-21 00:00:00.000,2,"TURBOPROP","1996-09-20T22:00:00.000Z","440CC2",,"Do328-110","OE-GBB","",21,,"Do.328","","110","active","Fairchild Dornier Do","1996-11-20T23:00:00.000Z","0000-00-00"
4258268,"Do328-100",83,"2W","D328","D38","","3115",2000-05-15 00:00:00.000,2,"TURBOPROP","0000-00-00","44005E",,"Do328-110","OE-LIR","",2016,,"Do.328","","110","active","Fairchild Dornier Do","2000-05-12T22:00:00.000Z","0000-00-00"
4258269,"EMB120",84,"2Z","E120","EM2","","120303",1996-03-12 00:00:00.000,2,"TURBOPROP","0000-00-00","E48228",,"EMB 120ER(QC)","PP-PSB","",2016,,"Emb-120","","ER-QC","inactive","Embraer EMB-120","1996-03-25T23:00:00.000Z","0000-00-00"
4258270,"ATR72-500",85,"2Z","AT75","AT7","","798",2008-07-23 00:00:00.000,2,"TURBOPROP","2008-06-22T22:00:00.000Z","E481F2",,"ATR72-500","PP-PTM","",9,,"ATR 72","","212A","active","ATR 42/72","2008-07-22T22:00:00.000Z","2000-08-05T22:00:00.000Z"
4258271,"ATR72-500",86,"2Z","AT75","AT7","","832",2008-11-07 00:00:00.000,2,"TURBOPROP","2008-10-28T23:00:00.000Z","E482BC",,"ATR72-500","PP-PTN","",9,,"ATR 72","","212A","active","ATR 42/72","0000-00-00","2000-08-09T22:00:00.000Z"
4258272,"ATR72-500",87,"2Z","AT75","AT7","","837",2008-12-05 00:00:00.000,2,"TURBOPROP","2008-11-16T23:00:00.000Z","E482F6",,"ATR72-500","PP-PTO","",8,,"ATR 72","","212A","active","ATR 42/72","2008-12-04T23:00:00.000Z","2000-08-10T22:00:00.000Z"
4258273,"ATR72-500",88,"2Z","AT75","AT7","","865",2009-05-20 00:00:00.000,2,"TURBOPROP","2009-04-16T22:00:00.000Z","E48420",,"ATR72-500","PP-PTP","",8,,"ATR 72","","212A","active","ATR 42/72","2009-05-19T22:00:00.000Z","2000-09-03T22:00:00.000Z"
4258274,"ATR72-500",89,"2Z","AT75","AT7","","874",2009-07-09 00:00:00.000,2,"TURBOPROP","2009-06-30T22:00:00.000Z","E4843E",,"ATR72-500","PP-PTQ","",8,,"ATR 72","","212A","active","ATR 42/72","2009-07-08T22:00:00.000Z","2000-09-05T22:00:00.000Z"
